system:index,cell_id,ndvi,.geo
1375_0,CA_001375,0.8427,"{""type"":""MultiPoint"",""coordinates"":[]}"
1376_0,CA_001376,0.8510000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1377_0,CA_001377,0.8527,"{""type"":""MultiPoint"",""coordinates"":[]}"
1446_0,CA_001446,0.5878,"{""type"":""MultiPoint"",""coordinates"":[]}"
1447_0,CA_001447,0.8485,"{""type"":""MultiPoint"",""coordinates"":[]}"
1448_0,CA_001448,0.6271,"{""type"":""MultiPoint"",""coordinates"":[]}"
1449_0,CA_001449,0.8329000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1450_0,CA_001450,0.3754,"{""type"":""MultiPoint"",""coordinates"":[]}"
1451_0,CA_001451,0.7919,"{""type"":""MultiPoint"",""coordinates"":[]}"
1452_0,CA_001452,0.8716,"{""type"":""MultiPoint"",""coordinates"":[]}"
1453_0,CA_001453,0.7568,"{""type"":""MultiPoint"",""coordinates"":[]}"
1454_0,CA_001454,0.7254,"{""type"":""MultiPoint"",""coordinates"":[]}"
1455_0,CA_001455,0.4504,"{""type"":""MultiPoint"",""coordinates"":[]}"
1456_0,CA_001456,0.8497,"{""type"":""MultiPoint"",""coordinates"":[]}"
1457_0,CA_001457,0.7774000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1458_0,CA_001458,0.6327,"{""type"":""MultiPoint"",""coordinates"":[]}"
1459_0,CA_001459,0.733,"{""type"":""MultiPoint"",""coordinates"":[]}"
1460_0,CA_001460,0.8702000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1461_0,CA_001461,0.6919000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1462_0,CA_001462,0.7092,"{""type"":""MultiPoint"",""coordinates"":[]}"
1463_0,CA_001463,0.7016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1464_0,CA_001464,0.6751,"{""type"":""MultiPoint"",""coordinates"":[]}"
1465_0,CA_001465,0.8641000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1466_0,CA_001466,0.8115,"{""type"":""MultiPoint"",""coordinates"":[]}"
1467_0,CA_001467,0.7374,"{""type"":""MultiPoint"",""coordinates"":[]}"
1468_0,CA_001468,0.7282000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1469_0,CA_001469,0.8314,"{""type"":""MultiPoint"",""coordinates"":[]}"
1470_0,CA_001470,0.7896000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1471_0,CA_001471,0.793,"{""type"":""MultiPoint"",""coordinates"":[]}"
1472_0,CA_001472,0.7312000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1473_0,CA_001473,0.7723,"{""type"":""MultiPoint"",""coordinates"":[]}"
1474_0,CA_001474,0.7989,"{""type"":""MultiPoint"",""coordinates"":[]}"
1475_0,CA_001475,0.8340000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1476_0,CA_001476,0.8051,"{""type"":""MultiPoint"",""coordinates"":[]}"
1477_0,CA_001477,0.8490000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1478_0,CA_001478,0.8209000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1479_0,CA_001479,0.7379,"{""type"":""MultiPoint"",""coordinates"":[]}"
1480_0,CA_001480,0.7576,"{""type"":""MultiPoint"",""coordinates"":[]}"
1481_0,CA_001481,0.7052,"{""type"":""MultiPoint"",""coordinates"":[]}"
1482_0,CA_001482,0.871,"{""type"":""MultiPoint"",""coordinates"":[]}"
1483_0,CA_001483,0.5807,"{""type"":""MultiPoint"",""coordinates"":[]}"
1551_0,CA_001551,0.8728,"{""type"":""MultiPoint"",""coordinates"":[]}"
1552_0,CA_001552,0.6115,"{""type"":""MultiPoint"",""coordinates"":[]}"
1553_0,CA_001553,0.7832,"{""type"":""MultiPoint"",""coordinates"":[]}"
1554_0,CA_001554,0.5536,"{""type"":""MultiPoint"",""coordinates"":[]}"
1555_0,CA_001555,0.8814000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1556_0,CA_001556,0.8279000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1557_0,CA_001557,0.6258,"{""type"":""MultiPoint"",""coordinates"":[]}"
1558_0,CA_001558,0.672,"{""type"":""MultiPoint"",""coordinates"":[]}"
1559_0,CA_001559,0.6368,"{""type"":""MultiPoint"",""coordinates"":[]}"
1560_0,CA_001560,0.6771,"{""type"":""MultiPoint"",""coordinates"":[]}"
1561_0,CA_001561,0.536,"{""type"":""MultiPoint"",""coordinates"":[]}"
